,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,dimessi_guariti,tamponi,casi_testati,popolazione_maschile,popolazione_femminile,popolazione_totale,Totali Dosi Somministrate 2020,Totali Dosi Somministrate 2021,Totali Dosi Somministrate 2022
0,Abruzzo,241036,20036,261072,17090550,17351622,166816021,2909227486,738413327.0,631743,662198,1293941,47,1038255,50128
1,Basilicata,58717,3626,62343,6432337,6494680,54258763,541056825,219785255.0,272150,281104,553254,107,444861,24111
2,Calabria,192695,14264,206959,18905409,19112368,156644929,1551001958,1243120694.0,927732,966378,1894110,325,1434288,114455
3,Campania,667132,52106,719238,64124884,64844122,736322495,8170669560,2995515530.0,2784616,2927527,5712143,2211,4461278,273517
4,Emilia-Romagna,1279885,102185,1382070,37601083,38983153,668537531,8736033837,1835883843.0,2173781,2290338,4464119,3199,3669896,162824
5,Friuli Venezia Giulia,207678,19895,227573,9802925,10030498,176616447,3318987486,710989624.0,586719,619497,1206216,1970,960295,44424
6,Lazio,1129374,117031,1246405,60198210,61444615,668576912,10720142020,3738381315.0,2779181,2976519,5755700,8822,4777591,237711
7,Liguria,358693,31035,389728,7078462,7468190,203790284,2797085666,778058449.0,730371,794455,1524826,1344,1241876,61977
8,Lombardia,2319958,234970,2554928,71446548,74001476,1342380860,18783533933,5003962815.0,4698263,4898823,9597086,1764,8405062,356676
9,Marche,235441,33011,268452,6770188,7038640,210503789,1674319054,1098813591.0,735691,776981,1512672,466,1193820,47051
10,Molise,21985,3287,25272,2411539,2436811,27359575,324125410,298069671.0,147953,152563,300516,50,249420,11516
11,P.A. Bolzano,85310,9978,95288,3730365,3825653,105880283,2390028852,450078084.0,263592,269052,532644,1492,405767,18580
12,P.A. Trento,94002,12965,106967,2596928,2703895,79348576,1360007689,322889642.0,267914,277511,545425,1847,450858,19661
13,Piemonte,1177611,89901,1267512,27520702,28788214,562369709,8544964763,2285537398.0,2095058,2216159,4311217,5652,3494633,164554
14,Puglia,533422,56234,589656,29765942,30355598,478717187,5165877497,1395958023.0,1923532,2029773,3953305,2152,3307007,170613
15,Sardegna,183798,19018,202816,10931857,11134673,133727794,2226765315,927366502.0,791696,819925,1611621,235,1314664,65741
16,Sicilia,627054,70845,697899,48222046,48919945,502235842,6709226582,3582437780.0,2370942,2504348,4875290,1952,3700206,273902
17,Toscana,575993,78514,654507,31463929,32118436,486662787,7189587087,2726156256.0,1784318,1908237,3692555,1764,3109560,142694
18,Umbria,153358,16298,169656,5786526,5956182,124870089,2165900271,436548665.0,419894,450271,870165,440,717705,32403
19,Valle d'Aosta,28142,2620,30762,749816,780578,17562160,252823901,79379066.0,61121,63913,125034,38,96343,4012
20,Veneto,727053,88927,815980,41949098,42765072,798819849,14872297599,2575090520.0,2389717,2489416,4879133,4789,3972000,165886
