,data,codice_regione,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_test,note_casi
126,2020-03-01T17:00:00,13,Abruzzo,3,0,3,2,5,0,0,5,52,,,
127,2020-03-01T17:00:00,17,Basilicata,0,0,0,0,0,0,0,0,39,,,
128,2020-03-01T17:00:00,18,Calabria,0,0,0,1,1,0,0,1,35,,,
129,2020-03-01T17:00:00,15,Campania,4,0,4,13,17,0,0,17,373,,,
130,2020-03-01T17:00:00,8,Emilia-Romagna,127,13,140,137,277,0,8,285,1795,,,
131,2020-03-01T17:00:00,6,Friuli Venezia Giulia,0,0,0,6,6,0,0,6,243,,,
132,2020-03-01T17:00:00,12,Lazio,3,0,3,0,3,3,0,6,724,,,
133,2020-03-01T17:00:00,7,Liguria,12,1,13,8,21,4,0,25,121,,,
134,2020-03-01T17:00:00,3,Lombardia,406,106,512,375,887,73,24,984,6879,,,
135,2020-03-01T17:00:00,11,Marche,12,5,17,8,25,0,0,25,101,,,
136,2020-03-01T17:00:00,14,Molise,0,0,0,0,0,0,0,0,6,,,
137,2020-03-01T17:00:00,21,P.A. Bolzano,1,0,1,0,1,0,0,1,20,,,
138,2020-03-01T17:00:00,22,P.A. Trento,0,0,0,0,0,0,0,0,122,,,
139,2020-03-01T17:00:00,1,Piemonte,11,2,13,36,49,0,0,49,362,,,
140,2020-03-01T17:00:00,16,Puglia,1,0,1,2,3,0,0,3,262,,,
141,2020-03-01T17:00:00,20,Sardegna,0,0,0,0,0,0,0,0,29,,,
142,2020-03-01T17:00:00,19,Sicilia,1,0,1,6,7,2,0,9,291,,,
143,2020-03-01T17:00:00,9,Toscana,7,0,7,5,12,1,0,13,572,,,
144,2020-03-01T17:00:00,10,Umbria,0,0,0,2,2,0,0,2,35,,,
145,2020-03-01T17:00:00,2,Valle d'Aosta,0,0,0,0,0,0,0,0,10,,,
146,2020-03-01T17:00:00,5,Veneto,51,13,64,197,261,0,2,263,9056,,,
147,2020-03-02T18:00:00,13,Abruzzo,3,0,3,2,5,0,0,5,52,,,
148,2020-03-02T18:00:00,17,Basilicata,0,0,0,0,0,0,0,0,39,,,
149,2020-03-02T18:00:00,18,Calabria,0,0,0,1,1,0,0,1,39,,,
150,2020-03-02T18:00:00,15,Campania,4,0,4,13,17,0,0,17,373,,,
151,2020-03-02T18:00:00,8,Emilia-Romagna,148,16,164,160,324,0,11,335,1973,,,
152,2020-03-02T18:00:00,6,Friuli Venezia Giulia,0,0,0,9,9,0,0,9,269,,,
153,2020-03-02T18:00:00,12,Lazio,3,0,3,1,4,3,0,7,773,,,
154,2020-03-02T18:00:00,7,Liguria,12,1,13,5,18,4,0,22,121,,,
155,2020-03-02T18:00:00,3,Lombardia,478,127,605,472,1077,139,38,1254,7925,,,
156,2020-03-02T18:00:00,11,Marche,17,6,23,11,34,0,1,35,137,,,
157,2020-03-02T18:00:00,14,Molise,0,0,0,0,0,0,0,0,13,,,
158,2020-03-02T18:00:00,21,P.A. Bolzano,1,0,1,0,1,0,0,1,20,,,
159,2020-03-02T18:00:00,22,P.A. Trento,0,0,0,0,0,0,0,0,122,,,
160,2020-03-02T18:00:00,1,Piemonte,12,2,14,37,51,0,0,51,434,,,
161,2020-03-02T18:00:00,16,Puglia,2,0,2,2,4,0,0,4,278,,,
162,2020-03-02T18:00:00,20,Sardegna,0,0,0,0,0,0,0,0,29,,,
163,2020-03-02T18:00:00,19,Sicilia,2,0,2,3,5,2,0,7,307,,,
164,2020-03-02T18:00:00,9,Toscana,7,0,7,5,12,1,0,13,613,,,
165,2020-03-02T18:00:00,10,Umbria,0,0,0,2,2,0,0,2,35,,,
166,2020-03-02T18:00:00,2,Valle d'Aosta,0,0,0,0,0,0,0,0,11,,,
167,2020-03-02T18:00:00,5,Veneto,53,14,67,204,271,0,2,273,9782,,,
168,2020-03-03T18:00:00,13,Abruzzo,5,0,5,1,6,0,0,6,52,,,
169,2020-03-03T18:00:00,17,Basilicata,0,0,0,1,1,0,0,1,42,,,
170,2020-03-03T18:00:00,18,Calabria,0,0,0,1,1,0,0,1,39,,,
171,2020-03-03T18:00:00,15,Campania,11,0,11,19,30,0,0,30,405,,,
172,2020-03-03T18:00:00,8,Emilia-Romagna,187,24,211,187,398,4,18,420,2012,,,
173,2020-03-03T18:00:00,6,Friuli Venezia Giulia,1,0,1,12,13,0,0,13,354,,,
174,2020-03-03T18:00:00,12,Lazio,10,0,10,1,11,3,0,14,877,,,
175,2020-03-03T18:00:00,7,Liguria,12,2,14,5,19,4,1,24,121,,,
176,2020-03-03T18:00:00,3,Lombardia,698,167,865,461,1326,139,55,1520,9577,,,
177,2020-03-03T18:00:00,11,Marche,27,13,40,19,59,0,2,61,200,,,
178,2020-03-03T18:00:00,14,Molise,3,0,3,0,3,0,0,3,13,,,
179,2020-03-03T18:00:00,21,P.A. Bolzano,1,0,1,0,1,0,0,1,20,,,
180,2020-03-03T18:00:00,22,P.A. Trento,1,0,1,3,4,0,0,4,122,,,
181,2020-03-03T18:00:00,1,Piemonte,13,3,16,40,56,0,0,56,458,,,
182,2020-03-03T18:00:00,16,Puglia,2,0,2,4,6,0,0,6,298,,,
183,2020-03-03T18:00:00,20,Sardegna,1,0,1,0,1,0,0,1,29,,,
184,2020-03-03T18:00:00,19,Sicilia,2,0,2,3,5,2,0,7,307,,,
185,2020-03-03T18:00:00,9,Toscana,10,0,10,8,18,1,0,19,697,,,
186,2020-03-03T18:00:00,10,Umbria,1,1,2,6,8,0,0,8,45,,,
187,2020-03-03T18:00:00,2,Valle d'Aosta,0,0,0,0,0,0,0,0,12,,,
188,2020-03-03T18:00:00,5,Veneto,49,19,68,229,297,7,3,307,10176,,,
189,2020-03-04T17:00:00,13,Abruzzo,7,0,7,0,7,0,0,7,85,,,
190,2020-03-04T17:00:00,17,Basilicata,0,0,0,1,1,0,0,1,48,,,
191,2020-03-04T17:00:00,18,Calabria,0,0,0,1,1,0,0,1,46,,,
192,2020-03-04T17:00:00,15,Campania,11,0,11,20,31,0,0,31,429,,,
193,2020-03-04T17:00:00,8,Emilia-Romagna,256,26,282,234,516,6,22,544,2500,,,
194,2020-03-04T17:00:00,6,Friuli Venezia Giulia,3,0,3,15,18,0,0,18,376,,,
195,2020-03-04T17:00:00,12,Lazio,15,3,18,9,27,3,0,30,995,,,
196,2020-03-04T17:00:00,7,Liguria,10,3,13,8,21,4,1,26,133,,,
197,2020-03-04T17:00:00,3,Lombardia,877,209,1086,411,1497,250,73,1820,12138,,,
198,2020-03-04T17:00:00,11,Marche,34,15,49,31,80,0,4,84,288,,,
199,2020-03-04T17:00:00,14,Molise,3,0,3,0,3,0,0,3,19,,,
200,2020-03-04T17:00:00,21,P.A. Bolzano,1,0,1,0,1,0,0,1,20,,,
201,2020-03-04T17:00:00,22,P.A. Trento,1,0,1,4,5,0,0,5,122,,,
202,2020-03-04T17:00:00,1,Piemonte,26,13,39,43,82,0,0,82,543,,,
203,2020-03-04T17:00:00,16,Puglia,4,0,4,3,7,1,1,9,322,,,
204,2020-03-04T17:00:00,20,Sardegna,1,0,1,1,2,0,0,2,42,,,
205,2020-03-04T17:00:00,19,Sicilia,5,0,5,11,16,2,0,18,367,,,
206,2020-03-04T17:00:00,9,Toscana,15,2,17,20,37,1,0,38,776,,,
207,2020-03-04T17:00:00,10,Umbria,1,1,2,7,9,0,0,9,58,,,
