,data,denominazione_regione,totale_positivi
0,2020-03-01 17:00:00,Abruzzo,5
20,2020-03-01 17:00:00,Veneto,261
19,2020-03-01 17:00:00,Valle d'Aosta,0
18,2020-03-01 17:00:00,Umbria,2
17,2020-03-01 17:00:00,Toscana,12
16,2020-03-01 17:00:00,Sicilia,7
14,2020-03-01 17:00:00,Puglia,3
13,2020-03-01 17:00:00,Piemonte,49
12,2020-03-01 17:00:00,P.A. Trento,0
11,2020-03-01 17:00:00,P.A. Bolzano,1
15,2020-03-01 17:00:00,Sardegna,0
9,2020-03-01 17:00:00,Marche,25
10,2020-03-01 17:00:00,Molise,0
2,2020-03-01 17:00:00,Calabria,1
3,2020-03-01 17:00:00,Campania,17
4,2020-03-01 17:00:00,Emilia-Romagna,277
1,2020-03-01 17:00:00,Basilicata,0
6,2020-03-01 17:00:00,Lazio,3
7,2020-03-01 17:00:00,Liguria,21
8,2020-03-01 17:00:00,Lombardia,887
5,2020-03-01 17:00:00,Friuli Venezia Giulia,6
306,2020-03-15 17:00:00,P.A. Trento,367
307,2020-03-15 17:00:00,Piemonte,1030
308,2020-03-15 17:00:00,Puglia,212
309,2020-03-15 17:00:00,Sardegna,75
305,2020-03-15 17:00:00,P.A. Bolzano,199
311,2020-03-15 17:00:00,Toscana,763
312,2020-03-15 17:00:00,Umbria,139
313,2020-03-15 17:00:00,Valle d'Aosta,56
310,2020-03-15 17:00:00,Sicilia,179
314,2020-03-15 17:00:00,Veneto,1989
304,2020-03-15 17:00:00,Molise,17
302,2020-03-15 17:00:00,Lombardia,10043
294,2020-03-15 17:00:00,Abruzzo,128
295,2020-03-15 17:00:00,Basilicata,11
296,2020-03-15 17:00:00,Calabria,66
297,2020-03-15 17:00:00,Campania,296
303,2020-03-15 17:00:00,Marche,1087
299,2020-03-15 17:00:00,Friuli Venezia Giulia,316
300,2020-03-15 17:00:00,Lazio,396
301,2020-03-15 17:00:00,Liguria,493
298,2020-03-15 17:00:00,Emilia-Romagna,2741
461,2020-03-22 17:00:00,Veneto,4644
460,2020-03-22 17:00:00,Valle d'Aosta,354
459,2020-03-22 17:00:00,Umbria,500
458,2020-03-22 17:00:00,Toscana,2144
457,2020-03-22 17:00:00,Sicilia,596
456,2020-03-22 17:00:00,Sardegna,327
455,2020-03-22 17:00:00,Puglia,748
453,2020-03-22 17:00:00,P.A. Trento,885
452,2020-03-22 17:00:00,P.A. Bolzano,648
451,2020-03-22 17:00:00,Molise,52
454,2020-03-22 17:00:00,Piemonte,4127
449,2020-03-22 17:00:00,Lombardia,17885
441,2020-03-22 17:00:00,Abruzzo,539
442,2020-03-22 17:00:00,Basilicata,81
443,2020-03-22 17:00:00,Calabria,260
444,2020-03-22 17:00:00,Campania,866
450,2020-03-22 17:00:00,Marche,2231
446,2020-03-22 17:00:00,Friuli Venezia Giulia,738
447,2020-03-22 17:00:00,Lazio,1272
448,2020-03-22 17:00:00,Liguria,1351
445,2020-03-22 17:00:00,Emilia-Romagna,6390
600,2020-03-29 17:00:00,P.A. Trento,1293
601,2020-03-29 17:00:00,Piemonte,7268
602,2020-03-29 17:00:00,Puglia,1432
603,2020-03-29 17:00:00,Sardegna,582
608,2020-03-29 17:00:00,Veneto,7251
605,2020-03-29 17:00:00,Toscana,3786
606,2020-03-29 17:00:00,Umbria,897
607,2020-03-29 17:00:00,Valle d'Aosta,539
604,2020-03-29 17:00:00,Sicilia,1330
599,2020-03-29 17:00:00,P.A. Bolzano,1034
598,2020-03-29 17:00:00,Molise,100
596,2020-03-29 17:00:00,Lombardia,25392
588,2020-03-29 17:00:00,Abruzzo,1169
589,2020-03-29 17:00:00,Basilicata,197
590,2020-03-29 17:00:00,Calabria,577
591,2020-03-29 17:00:00,Campania,1556
597,2020-03-29 17:00:00,Marche,3160
593,2020-03-29 17:00:00,Friuli Venezia Giulia,1141
594,2020-03-29 17:00:00,Lazio,2362
595,2020-03-29 17:00:00,Liguria,2279
592,2020-03-29 17:00:00,Emilia-Romagna,10535
755,2020-04-05 17:00:00,Veneto,9409
746,2020-04-05 17:00:00,P.A. Bolzano,1226
754,2020-04-05 17:00:00,Valle d'Aosta,576
753,2020-04-05 17:00:00,Umbria,898
752,2020-04-05 17:00:00,Toscana,5185
751,2020-04-05 17:00:00,Sicilia,1774
750,2020-04-05 17:00:00,Sardegna,815
749,2020-04-05 17:00:00,Puglia,2022
748,2020-04-05 17:00:00,Piemonte,10177
747,2020-04-05 17:00:00,P.A. Trento,1795
745,2020-04-05 17:00:00,Molise,187
743,2020-04-05 17:00:00,Lombardia,28124
742,2020-04-05 17:00:00,Liguria,3093
741,2020-04-05 17:00:00,Lazio,3186
740,2020-04-05 17:00:00,Friuli Venezia Giulia,1363
739,2020-04-05 17:00:00,Emilia-Romagna,12837
738,2020-04-05 17:00:00,Campania,2621
737,2020-04-05 17:00:00,Calabria,706
736,2020-04-05 17:00:00,Basilicata,254
735,2020-04-05 17:00:00,Abruzzo,1420
744,2020-04-05 17:00:00,Marche,3578
893,2020-04-12 17:00:00,P.A. Bolzano,1515
901,2020-04-12 17:00:00,Valle d'Aosta,588
900,2020-04-12 17:00:00,Umbria,687
899,2020-04-12 17:00:00,Toscana,6162
898,2020-04-12 17:00:00,Sicilia,2030
897,2020-04-12 17:00:00,Sardegna,903
896,2020-04-12 17:00:00,Puglia,2452
902,2020-04-12 17:00:00,Veneto,10729
894,2020-04-12 17:00:00,P.A. Trento,2082
892,2020-04-12 17:00:00,Molise,202
895,2020-04-12 17:00:00,Piemonte,12505
890,2020-04-12 17:00:00,Lombardia,31265
882,2020-04-12 17:00:00,Abruzzo,1742
883,2020-04-12 17:00:00,Basilicata,277
884,2020-04-12 17:00:00,Calabria,795
885,2020-04-12 17:00:00,Campania,3057
891,2020-04-12 17:00:00,Marche,3114
887,2020-04-12 17:00:00,Friuli Venezia Giulia,1326
888,2020-04-12 17:00:00,Lazio,3817
889,2020-04-12 17:00:00,Liguria,3333
886,2020-04-12 17:00:00,Emilia-Romagna,13672
1049,2020-04-19 17:00:00,Veneto,10210
1048,2020-04-19 17:00:00,Valle d'Aosta,562
1047,2020-04-19 17:00:00,Umbria,436
1046,2020-04-19 17:00:00,Toscana,6496
1045,2020-04-19 17:00:00,Sicilia,2202
1044,2020-04-19 17:00:00,Sardegna,864
1043,2020-04-19 17:00:00,Puglia,2786
1041,2020-04-19 17:00:00,P.A. Trento,1971
1040,2020-04-19 17:00:00,P.A. Bolzano,1566
1039,2020-04-19 17:00:00,Molise,215
1042,2020-04-19 17:00:00,Piemonte,14470
1037,2020-04-19 17:00:00,Lombardia,34497
1038,2020-04-19 17:00:00,Marche,3182
1030,2020-04-19 17:00:00,Basilicata,247
1031,2020-04-19 17:00:00,Calabria,844
1032,2020-04-19 17:00:00,Campania,3022
1029,2020-04-19 17:00:00,Abruzzo,1987
1034,2020-04-19 17:00:00,Friuli Venezia Giulia,1337
1035,2020-04-19 17:00:00,Lazio,4321
1036,2020-04-19 17:00:00,Liguria,3490
1033,2020-04-19 17:00:00,Emilia-Romagna,13552
1188,2020-04-26 17:00:00,P.A. Trento,1682
1189,2020-04-26 17:00:00,Piemonte,15519
1190,2020-04-26 17:00:00,Puglia,2937
1191,2020-04-26 17:00:00,Sardegna,783
1196,2020-04-26 17:00:00,Veneto,9138
1193,2020-04-26 17:00:00,Toscana,6069
1194,2020-04-26 17:00:00,Umbria,296
1195,2020-04-26 17:00:00,Valle d'Aosta,254
1192,2020-04-26 17:00:00,Sicilia,2107
1187,2020-04-26 17:00:00,P.A. Bolzano,994
1186,2020-04-26 17:00:00,Molise,200
1184,2020-04-26 17:00:00,Lombardia,35166
1176,2020-04-26 17:00:00,Abruzzo,2068
1177,2020-04-26 17:00:00,Basilicata,219
1178,2020-04-26 17:00:00,Calabria,797
1179,2020-04-26 17:00:00,Campania,2924
1185,2020-04-26 17:00:00,Marche,3308
1181,2020-04-26 17:00:00,Friuli Venezia Giulia,1248
1182,2020-04-26 17:00:00,Lazio,4573
1183,2020-04-26 17:00:00,Liguria,3480
1180,2020-04-26 17:00:00,Emilia-Romagna,12341
1334,2020-05-03 17:00:00,P.A. Bolzano,665
1342,2020-05-03 17:00:00,Valle d'Aosta,109
1341,2020-05-03 17:00:00,Umbria,183
1340,2020-05-03 17:00:00,Toscana,5328
1339,2020-05-03 17:00:00,Sicilia,2203
1338,2020-05-03 17:00:00,Sardegna,689
1337,2020-05-03 17:00:00,Puglia,2955
1336,2020-05-03 17:00:00,Piemonte,15638
1335,2020-05-03 17:00:00,P.A. Trento,1247
1343,2020-05-03 17:00:00,Veneto,7299
1333,2020-05-03 17:00:00,Molise,181
1331,2020-05-03 17:00:00,Lombardia,36926
1330,2020-05-03 17:00:00,Liguria,3551
1329,2020-05-03 17:00:00,Lazio,4385
1328,2020-05-03 17:00:00,Friuli Venezia Giulia,1087
1327,2020-05-03 17:00:00,Emilia-Romagna,9045
1326,2020-05-03 17:00:00,Campania,2726
1325,2020-05-03 17:00:00,Calabria,702
1324,2020-05-03 17:00:00,Basilicata,194
1323,2020-05-03 17:00:00,Abruzzo,1868
1332,2020-05-03 17:00:00,Marche,3198
1482,2020-05-10 17:00:00,P.A. Trento,786
1490,2020-05-10 17:00:00,Veneto,5591
1489,2020-05-10 17:00:00,Valle d'Aosta,113
1488,2020-05-10 17:00:00,Umbria,113
