,data,Regione,Totale Vaccinazioni
0,2020-12-27,Abruzzo,47
20,2020-12-27,Veneto,869
19,2020-12-27,Valle d'Aosta,20
18,2020-12-27,Umbria,93
17,2020-12-27,Toscana,629
16,2020-12-27,Sicilia,149
15,2020-12-27,Sardegna,68
14,2020-12-27,Puglia,510
13,2020-12-27,Piemonte,928
11,2020-12-27,P.A. Bolzano,147
12,2020-12-27,P.A. Trento,108
9,2020-12-27,Marche,55
8,2020-12-27,Lombardia,719
7,2020-12-27,Liguria,135
6,2020-12-27,Lazio,278
5,2020-12-27,Friuli Venezia Giulia,266
4,2020-12-27,Emilia-Romagna,973
3,2020-12-27,Campania,721
2,2020-12-27,Calabria,319
1,2020-12-27,Basilicata,107
10,2020-12-27,Molise,50
114,2021-01-03,P.A. Trento,510
115,2021-01-03,Piemonte,3111
116,2021-01-03,Puglia,2012
113,2021-01-03,P.A. Bolzano,43
119,2021-01-03,Toscana,3365
120,2021-01-03,Umbria,293
121,2021-01-03,Veneto,5134
117,2021-01-03,Sardegna,90
112,2021-01-03,Molise,1
118,2021-01-03,Sicilia,5154
110,2021-01-03,Lombardia,858
102,2021-01-03,Abruzzo,413
103,2021-01-03,Basilicata,917
104,2021-01-03,Calabria,6
105,2021-01-03,Campania,3835
111,2021-01-03,Marche,916
107,2021-01-03,Friuli Venezia Giulia,323
108,2021-01-03,Lazio,5386
109,2021-01-03,Liguria,743
106,2021-01-03,Emilia-Romagna,2766
260,2021-01-10,P.A. Trento,87
268,2021-01-10,Veneto,5033
267,2021-01-10,Valle d'Aosta / Vall├®e d'Aoste,223
266,2021-01-10,Umbria,1098
265,2021-01-10,Toscana,3040
264,2021-01-10,Sicilia,3792
263,2021-01-10,Sardegna,2227
262,2021-01-10,Puglia,2353
261,2021-01-10,Piemonte,5377
259,2021-01-10,P.A. Bolzano,2
258,2021-01-10,Molise,272
257,2021-01-10,Marche,1749
249,2021-01-10,Basilicata,77
250,2021-01-10,Calabria,964
251,2021-01-10,Campania,8169
252,2021-01-10,Emilia-Romagna,7187
248,2021-01-10,Abruzzo,949
254,2021-01-10,Lazio,4168
255,2021-01-10,Liguria,657
256,2021-01-10,Lombardia,10557
253,2021-01-10,Friuli Venezia Giulia,2978
415,2021-01-17,Veneto,1588
414,2021-01-17,Valle d'Aosta / Vall├®e d'Aoste,131
413,2021-01-17,Umbria,56
412,2021-01-17,Toscana,2030
411,2021-01-17,Sicilia,1380
410,2021-01-17,Sardegna,869
409,2021-01-17,Puglia,1245
408,2021-01-17,Piemonte,2914
407,2021-01-17,P.A. Trento,259
406,2021-01-17,P.A. Bolzano,2338
405,2021-01-17,Molise,48
403,2021-01-17,Lombardia,8165
395,2021-01-17,Abruzzo,186
396,2021-01-17,Basilicata,332
397,2021-01-17,Calabria,820
398,2021-01-17,Campania,702
404,2021-01-17,Marche,1563
400,2021-01-17,Friuli Venezia Giulia,1736
401,2021-01-17,Lazio,4786
402,2021-01-17,Liguria,869
399,2021-01-17,Emilia-Romagna,2654
558,2021-01-24,Veneto,174
556,2021-01-24,Toscana,199
555,2021-01-24,Sicilia,123
554,2021-01-24,Sardegna,5
553,2021-01-24,Puglia,152
552,2021-01-24,Piemonte,438
551,2021-01-24,P.A. Trento,227
550,2021-01-24,P.A. Bolzano,0
549,2021-01-24,Marche,4
557,2021-01-24,Umbria,1
547,2021-01-24,Liguria,157
546,2021-01-24,Lazio,629
545,2021-01-24,Friuli Venezia Giulia,3
544,2021-01-24,Emilia-Romagna,300
543,2021-01-24,Campania,379
542,2021-01-24,Calabria,41
541,2021-01-24,Basilicata,59
548,2021-01-24,Lombardia,538
540,2021-01-24,Abruzzo,6
697,2021-01-31,Piemonte,116
698,2021-01-31,Puglia,76
699,2021-01-31,Sardegna,45
696,2021-01-31,P.A. Trento,1
701,2021-01-31,Toscana,104
702,2021-01-31,Umbria,25
703,2021-01-31,Valle d'Aosta / Vall├®e d'Aoste,58
700,2021-01-31,Sicilia,109
704,2021-01-31,Veneto,589
695,2021-01-31,Molise,6
693,2021-01-31,Lombardia,30
685,2021-01-31,Abruzzo,285
686,2021-01-31,Basilicata,0
687,2021-01-31,Calabria,150
688,2021-01-31,Campania,19
694,2021-01-31,Marche,96
690,2021-01-31,Friuli Venezia Giulia,396
691,2021-01-31,Lazio,488
692,2021-01-31,Liguria,47
689,2021-01-31,Emilia-Romagna,240
841,2021-02-07,Molise,20
849,2021-02-07,Valle d'Aosta / Vall├®e d'Aoste,190
848,2021-02-07,Umbria,1
847,2021-02-07,Toscana,890
846,2021-02-07,Sicilia,673
845,2021-02-07,Sardegna,229
844,2021-02-07,Puglia,253
843,2021-02-07,Piemonte,462
842,2021-02-07,P.A. Bolzano,344
850,2021-02-07,Veneto,757
840,2021-02-07,Marche,343
838,2021-02-07,Liguria,3
839,2021-02-07,Lombardia,349
831,2021-02-07,Abruzzo,200
832,2021-02-07,Basilicata,49
833,2021-02-07,Calabria,145
835,2021-02-07,Emilia-Romagna,1729
836,2021-02-07,Friuli Venezia Giulia,399
837,2021-02-07,Lazio,413
834,2021-02-07,Campania,2159
987,2021-02-14,P.A. Trento,11
995,2021-02-14,Veneto,115
994,2021-02-14,Valle d'Aosta / Vall├®e d'Aoste,1
993,2021-02-14,Umbria,0
992,2021-02-14,Toscana,8955
991,2021-02-14,Sicilia,915
990,2021-02-14,Sardegna,540
989,2021-02-14,Puglia,664
988,2021-02-14,Piemonte,887
986,2021-02-14,P.A. Bolzano,298
985,2021-02-14,Marche,738
984,2021-02-14,Lombardia,2949
983,2021-02-14,Liguria,234
982,2021-02-14,Lazio,5332
981,2021-02-14,Friuli Venezia Giulia,0
980,2021-02-14,Emilia-Romagna,1288
979,2021-02-14,Campania,3896
978,2021-02-14,Calabria,455
977,2021-02-14,Basilicata,152
976,2021-02-14,Abruzzo,1
1132,2021-02-21,Molise,577
1140,2021-02-21,Valle d'Aosta / Vall├®e d'Aoste,0
1139,2021-02-21,Umbria,1
1138,2021-02-21,Toscana,5000
1137,2021-02-21,Sicilia,5063
1136,2021-02-21,Sardegna,1555
1135,2021-02-21,Puglia,2115
1134,2021-02-21,Piemonte,5047
1133,2021-02-21,P.A. Trento,46
1141,2021-02-21,Veneto,4635
1131,2021-02-21,Marche,375
1129,2021-02-21,Liguria,867
1128,2021-02-21,Lazio,6535
1127,2021-02-21,Friuli Venezia Giulia,427
1126,2021-02-21,Emilia-Romagna,4012
1125,2021-02-21,Campania,5611
1124,2021-02-21,Calabria,609
1123,2021-02-21,Basilicata,285
1122,2021-02-21,Abruzzo,1217
1130,2021-02-21,Lombardia,5039
1286,2021-02-28,Veneto,3325
1285,2021-02-28,Valle d'Aosta / Vall├®e d'Aoste,77
1284,2021-02-28,Toscana,948
1283,2021-02-28,Sicilia,6505
1282,2021-02-28,Sardegna,142
1281,2021-02-28,Puglia,5899
1280,2021-02-28,Piemonte,10575
1279,2021-02-28,P.A. Trento,250
1278,2021-02-28,Molise,801
1277,2021-02-28,Marche,2831
1275,2021-02-28,Liguria,1050
1268,2021-02-28,Abruzzo,1701
1269,2021-02-28,Basilicata,778
1270,2021-02-28,Calabria,2258
1276,2021-02-28,Lombardia,7675
1272,2021-02-28,Emilia-Romagna,4982
1273,2021-02-28,Friuli Venezia Giulia,2310
1274,2021-02-28,Lazio,9765
1271,2021-02-28,Campania,8520
1433,2021-03-07,Veneto,3964
1432,2021-03-07,Valle d'Aosta / Vall├®e d'Aoste,11
1431,2021-03-07,Umbria,846
1430,2021-03-07,Toscana,2112
1429,2021-03-07,Sicilia,8200
1428,2021-03-07,Sardegna,1115
1427,2021-03-07,Puglia,4419
1425,2021-03-07,P.A. Trento,24
1424,2021-03-07,P.A. Bolzano,21
1423,2021-03-07,Molise,1136
1426,2021-03-07,Piemonte,11145
1421,2021-03-07,Lombardia,9539
1422,2021-03-07,Marche,4429
1414,2021-03-07,Basilicata,865
