data,d1,dpi,reg
1/1/2022,0,0,Abruzzo
1/1/2022,0,0,Abruzzo
1/1/2022,0,0,Abruzzo
1/1/2022,0,0,Abruzzo
1/1/2022,0,0,Abruzzo
1/1/2022,0,0,Abruzzo
1/1/2022,1,0,Abruzzo
1/1/2022,0,0,Abruzzo
1/1/2022,0,0,Abruzzo
1/1/2022,0,0,Abruzzo
1/1/2022,0,0,Abruzzo
1/1/2022,0,0,Basilicata
1/1/2022,0,0,Basilicata
1/1/2022,0,0,Basilicata
1/1/2022,0,0,Basilicata
1/1/2022,0,0,Basilicata
1/1/2022,0,0,Basilicata
1/1/2022,0,0,Basilicata
1/1/2022,0,0,Basilicata
1/1/2022,0,0,Basilicata
1/1/2022,0,0,Calabria
1/1/2022,5,1,Calabria
1/1/2022,11,0,Calabria
1/1/2022,9,4,Calabria
1/1/2022,6,0,Calabria
1/1/2022,8,0,Calabria
1/1/2022,4,0,Calabria
1/1/2022,2,0,Calabria
1/1/2022,0,0,Calabria
1/1/2022,220,7,Calabria
1/1/2022,28,1,Calabria
1/1/2022,7,0,Calabria
1/1/2022,5,0,Calabria
1/1/2022,5,0,Calabria
1/1/2022,5,0,Calabria
1/1/2022,5,0,Calabria
1/1/2022,4,0,Calabria
1/1/2022,0,0,Calabria
1/1/2022,0,0,Calabria
1/1/2022,5,0,Campania
1/1/2022,6,0,Campania
1/1/2022,5,0,Campania
1/1/2022,12,0,Campania
1/1/2022,6,1,Campania
1/1/2022,6,0,Campania
1/1/2022,1,0,Campania
1/1/2022,1,0,Campania
1/1/2022,0,0,Campania
1/1/2022,10,0,Campania
1/1/2022,16,0,Campania
1/1/2022,0,0,Campania
1/1/2022,2,0,Campania
1/1/2022,1,0,Campania
1/1/2022,2,0,Campania
1/1/2022,0,0,Campania
1/1/2022,2,0,Campania
1/1/2022,1,0,Campania
1/1/2022,0,0,Campania
1/1/2022,11,3,Emilia-Romagna
1/1/2022,7,1,Emilia-Romagna
1/1/2022,17,8,Emilia-Romagna
1/1/2022,46,11,Emilia-Romagna
1/1/2022,52,5,Emilia-Romagna
1/1/2022,22,1,Emilia-Romagna
1/1/2022,6,0,Emilia-Romagna
1/1/2022,2,0,Emilia-Romagna
1/1/2022,0,0,Emilia-Romagna
1/1/2022,81,19,Emilia-Romagna
1/1/2022,19,3,Emilia-Romagna
1/1/2022,12,4,Emilia-Romagna
1/1/2022,11,3,Emilia-Romagna
1/1/2022,11,3,Emilia-Romagna
1/1/2022,6,0,Emilia-Romagna
1/1/2022,3,0,Emilia-Romagna
1/1/2022,2,1,Emilia-Romagna
1/1/2022,0,0,Emilia-Romagna
1/1/2022,3,0,Friuli-Venezia Giulia
1/1/2022,1,0,Friuli-Venezia Giulia
1/1/2022,6,0,Lazio
1/1/2022,2,0,Lazio
1/1/2022,7,0,Lazio
1/1/2022,7,0,Lazio
1/1/2022,1,0,Lazio
1/1/2022,1,0,Lazio
1/1/2022,50,5,Lazio
1/1/2022,28,6,Lazio
1/1/2022,51,1,Lazio
1/1/2022,42,4,Lazio
1/1/2022,34,2,Lazio
1/1/2022,17,1,Lazio
1/1/2022,6,1,Lazio
1/1/2022,5,0,Lazio
1/1/2022,0,0,Lazio
1/1/2022,1042,88,Lazio
